Year,Month,Day,biome,chemi,gas
2010,5,25,0.0004 ,-0.0014 ,-0.0104 
2010,5,26,-0.0021 ,-0.0015 ,0.0065 
2010,5,27,0.0234 ,0.0277 ,0.0313 
2010,5,28,0.0205 ,0.0138 ,0.0008 
2010,5,31,-0.0104 ,-0.0244 ,-0.0242 
2010,6,1,-0.0290 ,-0.0249 ,-0.0150 
2010,6,2,0.0063 ,0.0106 ,0.0125 
2010,6,3,0.0147 ,-0.0064 ,-0.0027 
2010,6,4,0.0311 ,0.0108 ,0.0137 
2010,6,7,0.0102 ,0.0040 ,0.0039 
2010,6,8,0.0006 ,0.0100 ,0.0114 
2010,6,9,0.0152 ,0.0195 ,0.0209 
2010,6,10,0.0059 ,0.0058 ,0.0100 
2010,6,11,-0.0092 ,-0.0038 ,-0.0038 
2010,6,17,-0.0428 ,-0.0328 ,-0.0122 
2010,6,18,-0.0341 ,-0.0504 ,-0.0572 
2010,6,21,0.0162 ,0.0214 ,0.0256 
2010,6,22,0.0009 ,0.0070 ,0.0088 
2010,6,23,0.0103 ,-0.0009 ,-0.0048 
2010,6,24,0.0040 ,0.0036 ,-0.0024 
2010,6,25,-0.0201 ,-0.0234 ,-0.0314 
2010,6,28,-0.0225 ,-0.0164 ,-0.0192 
2010,6,29,-0.0475 ,-0.0566 ,-0.0612 
2010,6,30,0.0081 ,-0.0136 ,-0.0158 
2010,7,1,-0.0374 ,-0.0250 ,-0.0190 
2010,7,2,-0.0270 ,-0.0117 ,-0.0070 
2010,7,5,-0.0062 ,-0.0054 ,-0.0093 
2010,7,6,0.0332 ,0.0313 ,0.0304 
2010,7,7,0.0140 ,0.0127 ,0.0178 
2010,7,8,0.0093 ,0.0010 ,-0.0039 
2010,7,9,0.0195 ,0.0259 ,0.0318 
2010,7,12,0.0035 ,0.0061 ,0.0091 
2010,7,13,-0.0174 ,-0.0125 ,0.0011 
2010,7,14,0.0132 ,0.0068 ,0.0106 
2010,7,15,-0.0221 ,-0.0249 ,-0.0313 
2010,7,16,-0.0038 ,0.0085 ,0.0040 
2010,7,19,0.0244 ,0.0213 ,0.0249 
2010,7,20,0.0367 ,0.0399 ,0.0292 
2010,7,21,0.0026 ,0.0035 ,0.0062 
2010,7,22,0.0132 ,0.0136 ,0.0119 
2010,7,23,0.0124 ,0.0056 ,-0.0057 
2010,7,26,0.0125 ,0.0163 ,0.0135 
2010,7,27,-0.0064 ,-0.0038 ,0.0002 
2010,7,28,0.0150 ,0.0165 ,0.0243 
2010,7,29,0.0024 ,0.0021 ,0.0105 
2010,7,30,-0.0027 ,0.0074 ,-0.0025 
2010,8,2,0.0247 ,0.0205 ,0.0229 
2010,8,3,-0.0159 ,-0.0080 ,-0.0193 
2010,8,4,0.0083 ,0.0060 ,0.0085 
2010,8,5,0.0191 ,0.0112 ,0.0015 
2010,8,6,0.0177 ,0.0182 ,0.0222 
2010,8,9,0.0199 ,0.0153 ,0.0156 
2010,8,10,-0.0138 ,-0.0297 ,-0.0361 
2010,8,11,0.0126 ,0.0117 ,0.0062 
2010,8,12,-0.0176 ,-0.0104 ,-0.0125 
2010,8,13,0.0119 ,0.0236 ,0.0274 
2010,8,16,0.0394 ,0.0275 ,0.0228 
2010,8,17,0.0037 ,0.0058 ,0.0140 
2010,8,18,-0.0014 ,-0.0023 ,0.0056 
2010,8,19,-0.0065 ,-0.0032 ,0.0035 
2010,8,20,-0.0314 ,-0.0280 ,-0.0109 
2010,8,23,0.0061 ,0.0057 ,0.0063 
2010,8,24,0.0120 ,0.0109 ,0.0147 
2010,8,25,-0.0168 ,-0.0139 ,-0.0253 
2010,8,26,0.0153 ,0.0087 ,0.0086 
2010,8,27,0.0258 ,0.0143 ,0.0099 
2010,8,30,0.0375 ,0.0259 ,0.0243 
2010,8,31,0.0157 ,0.0059 ,0.0101 
2010,9,1,-0.0250 ,-0.0163 ,-0.0138 
2010,9,2,0.0189 ,0.0259 ,0.0191 
2010,9,3,-0.0008 ,0.0124 ,0.0050 
2010,9,6,-0.0035 ,-0.0091 ,-0.0064 
2010,9,7,0.0091 ,0.0085 ,0.0067 
2010,9,8,0.0054 ,0.0086 ,0.0229 
2010,9,9,0.0070 ,-0.0063 ,-0.0101 
2010,9,10,0.0456 ,0.0292 ,0.0109 
2010,9,13,-0.0036 ,0.0043 ,0.0153 
2010,9,14,0.0061 ,-0.0004 ,-0.0014 
2010,9,15,-0.0146 ,-0.0168 ,-0.0244 
2010,9,16,-0.0441 ,-0.0311 ,-0.0200 
2010,9,17,0.0036 ,0.0041 ,-0.0101 
2010,9,20,-0.0215 ,-0.0176 ,-0.0061 
2010,9,21,-0.0044 ,0.0012 ,-0.0045 
2010,9,27,0.0259 ,0.0276 ,0.0263 
2010,9,28,-0.0055 ,-0.0027 ,-0.0052 
2010,9,29,-0.0117 ,-0.0156 ,-0.0101 
2010,9,30,0.0120 ,0.0134 ,0.0088 
2010,10,8,0.0185 ,0.0202 ,0.0225 
2010,10,11,0.0155 ,-0.0026 ,0.0070 
2010,10,12,-0.0049 ,-0.0032 ,0.0177 
2010,10,13,-0.0096 ,-0.0021 ,0.0032 
2010,10,14,-0.0391 ,-0.0385 ,-0.0296 
2010,10,15,-0.0037 ,-0.0081 ,-0.0068 
2010,10,18,-0.0099 ,-0.0108 ,-0.0338 
2010,10,19,0.0409 ,0.0359 ,0.0393 
2010,10,20,0.0127 ,0.0079 ,0.0098 
2010,10,21,0.0119 ,0.0121 ,-0.0012 
2010,10,22,0.0059 ,0.0112 ,0.0161 
2010,10,25,0.0214 ,0.0218 ,0.0295 
2010,10,26,0.0236 ,0.0144 ,0.0109 
2010,10,27,0.0004 ,-0.0117 ,-0.0013 
2010,10,28,-0.0088 ,-0.0029 ,-0.0017 
2010,10,29,0.0055 ,0.0125 ,0.0098 
2010,11,1,0.0194 ,0.0277 ,0.0266 
2010,11,2,-0.0040 ,-0.0100 ,-0.0014 
2010,11,3,-0.0035 ,-0.0137 ,-0.0202 
2010,11,4,0.0174 ,0.0188 ,0.0168 
2010,11,5,0.0085 ,0.0162 ,0.0182 
2010,11,8,0.0310 ,0.0287 ,0.0261 
2010,11,9,0.0261 ,0.0115 ,-0.0003 
2010,11,10,-0.0025 ,0.0140 ,0.0018 
2010,11,11,0.0002 ,-0.0075 ,-0.0093 
2010,11,12,-0.0549 ,-0.0578 ,-0.0606 
2010,11,15,0.0416 ,0.0412 ,0.0355 
2010,11,16,-0.0170 ,-0.0205 ,-0.0307 
2010,11,17,-0.0553 ,-0.0443 ,-0.0381 
2010,11,18,0.0081 ,0.0123 ,0.0139 
2010,11,19,0.0297 ,0.0365 ,0.0335 
2010,11,22,0.0149 ,0.0156 ,0.0136 
2010,11,23,-0.0053 ,-0.0010 ,-0.0100 
2010,11,24,0.0480 ,0.0301 ,0.0289 
2010,11,25,-0.0007 ,0.0002 ,0.0017 
2010,11,26,-0.0059 ,0.0030 ,0.0001 
2010,11,29,0.0219 ,0.0162 ,0.0155 
2010,11,30,-0.0373 ,-0.0297 ,-0.0306 
2010,12,1,-0.0049 ,-0.0043 ,0.0047 
2010,12,2,-0.0055 ,0.0038 ,0.0056 
2010,12,3,-0.0151 ,-0.0162 ,-0.0087 
2010,12,6,-0.0204 ,-0.0163 ,-0.0250 
2010,12,7,0.0129 ,0.0153 ,0.0121 
2010,12,8,-0.0057 ,0.0006 ,-0.0035 
2010,12,9,-0.0225 ,-0.0180 ,-0.0139 
2010,12,10,0.0121 ,0.0125 ,0.0108 
2010,12,13,0.0247 ,0.0280 ,0.0318 
2010,12,14,0.0127 ,0.0090 ,0.0138 
2010,12,15,0.0023 ,-0.0029 ,0.0060 
2010,12,16,-0.0007 ,0.0030 ,-0.0024 
2010,12,17,0.0048 ,0.0022 ,0.0026 
2010,12,20,-0.0185 ,-0.0176 ,-0.0158 
2010,12,21,0.0046 ,0.0098 ,0.0140 
2010,12,22,-0.0121 ,-0.0086 ,-0.0048 
2010,12,23,-0.0106 ,-0.0213 ,-0.0163 
2010,12,24,-0.0147 ,-0.0181 ,-0.0200 
2010,12,27,-0.0331 ,-0.0307 ,-0.0349 
2010,12,28,-0.0217 ,-0.0174 ,-0.0290 
2010,12,29,0.0163 ,0.0186 ,0.0156 
2010,12,30,0.0075 ,0.0059 ,0.0094 
2010,12,31,0.0177 ,0.0185 ,0.0212 
2011,1,4,0.0066 ,0.0095 ,0.0101 
2011,1,5,0.0053 ,-0.0002 ,0.0045 
2011,1,6,-0.0161 ,-0.0062 ,0.0046 
2011,1,7,-0.0011 ,-0.0042 ,-0.0131 
2011,1,10,-0.0294 ,-0.0299 ,-0.0318 
2011,1,11,-0.0074 ,-0.0127 ,-0.0069 
2011,1,12,0.0038 ,0.0081 ,0.0008 
2011,1,13,0.0058 ,0.0066 ,0.0020 
2011,1,14,0.0001 ,-0.0160 ,-0.0230 
2011,1,17,-0.0517 ,-0.0372 ,-0.0428 
2011,1,18,-0.0007 ,0.0026 ,0.0058 
2011,1,19,0.0229 ,0.0223 ,0.0209 
2011,1,20,-0.0373 ,-0.0335 ,-0.0383 
2011,1,21,0.0056 ,0.0023 ,0.0084 
2011,1,24,-0.0218 ,-0.0291 ,-0.0256 
2011,1,25,-0.0124 ,-0.0175 ,-0.0187 
2011,1,26,0.0081 ,0.0172 ,0.0186 
2011,1,27,0.0143 ,0.0128 ,0.0176 
2011,1,28,0.0152 ,0.0173 ,0.0093 
2011,1,31,0.0102 ,0.0100 ,0.0091 
2011,2,1,0.0074 ,0.0022 ,0.0003 
2011,2,9,-0.0044 ,-0.0064 ,-0.0072 
2011,2,10,0.0382 ,0.0336 ,0.0256 
2011,2,11,0.0085 ,0.0101 ,0.0130 
2011,2,14,0.0103 ,0.0126 ,0.0163 
2011,2,15,-0.0043 ,0.0040 ,0.0008 
2011,2,16,0.0076 ,0.0161 ,0.0139 
2011,2,17,-0.0018 ,0.0070 ,0.0169 
2011,2,18,-0.0004 ,-0.0061 ,-0.0089 
2011,2,21,0.0132 ,0.0199 ,0.0167 
2011,2,22,-0.0245 ,-0.0291 ,-0.0260 
2011,2,23,0.0191 ,0.0189 ,0.0182 
2011,2,24,0.0099 ,0.0047 ,0.0173 
2011,2,25,-0.0037 ,-0.0047 ,0.0008 
2011,2,28,0.0073 ,0.0094 ,0.0113 
2011,3,1,0.0213 ,0.0038 ,-0.0012 
2011,3,2,0.0060 ,0.0020 ,-0.0022 
2011,3,3,-0.0300 ,-0.0216 ,-0.0069 
2011,3,4,0.0083 ,0.0096 ,0.0087 
2011,3,7,0.0076 ,0.0069 ,0.0087 
2011,3,8,0.0040 ,0.0062 ,0.0080 
2011,3,9,-0.0049 ,0.0020 ,0.0031 
2011,3,10,0.0007 ,0.0024 ,-0.0052 
2011,3,11,-0.0006 ,0.0022 ,-0.0008 
2011,3,14,0.0272 ,0.0233 ,0.0094 
2011,3,15,-0.0106 ,-0.0071 ,-0.0153 
2011,3,16,0.0085 ,0.0064 ,0.0121 
2011,3,17,-0.0060 ,-0.0155 ,-0.0096 
2011,3,18,0.0019 ,0.0004 ,0.0046 
2011,3,21,-0.0155 ,-0.0149 ,-0.0044 
2011,3,22,0.0007 ,-0.0017 ,-0.0054 
2011,3,23,0.0093 ,0.0142 ,0.0113 
2011,3,24,0.0141 ,0.0038 ,0.0001 
2011,3,25,0.0066 ,0.0032 ,0.0070 
2011,3,28,-0.0030 ,-0.0049 ,-0.0001 
2011,3,29,-0.0024 ,-0.0202 ,-0.0236 
2011,3,30,0.0038 ,-0.0078 ,-0.0101 
2011,3,31,-0.0263 ,-0.0114 ,-0.0118 
2011,4,1,0.0074 ,0.0135 ,0.0125 
2011,4,6,0.0045 ,-0.0051 ,-0.0055 
2011,4,7,-0.0006 ,0.0082 ,0.0065 
2011,4,8,0.0080 ,0.0148 ,0.0124 
2011,4,11,0.0026 ,-0.0037 ,-0.0117 
2011,4,12,-0.0057 ,-0.0025 ,-0.0047 
2011,4,13,0.0136 ,0.0128 ,0.0109 
2011,4,14,0.0029 ,-0.0004 ,-0.0017 
2011,4,15,-0.0073 ,0.0020 ,0.0000 
2011,4,18,0.0009 ,0.0119 ,-0.0046 
2011,4,19,-0.0113 ,-0.0023 ,-0.0203 
2011,4,20,0.0211 ,0.0086 ,0.0149 
2011,4,21,-0.0014 ,0.0004 ,0.0073 
2011,4,22,-0.0108 ,-0.0101 ,-0.0053 
2011,4,25,-0.0199 ,-0.0268 ,-0.0311 
2011,4,26,-0.0001 ,-0.0187 ,-0.0196 
2011,4,27,-0.0114 ,-0.0114 ,-0.0133 
2011,4,28,-0.0448 ,-0.0361 ,-0.0250 
2011,4,29,0.0231 ,0.0144 ,0.0130 
2011,5,3,0.0205 ,0.0160 ,0.0144 
2011,5,4,-0.0202 ,-0.0194 ,-0.0156 
2011,5,5,0.0050 ,0.0058 ,0.0045 
2011,5,6,0.0122 ,0.0079 ,0.0063 
2011,5,9,0.0083 ,0.0071 ,0.0060 
2011,5,10,-0.0006 ,0.0082 ,0.0008 
2011,5,11,0.0009 ,0.0042 ,0.0032 
2011,5,12,-0.0157 ,-0.0158 ,-0.0204 
2011,5,13,0.0101 ,0.0033 ,0.0121 
2011,5,16,-0.0070 ,0.0002 ,0.0021 
2011,5,17,-0.0026 ,-0.0077 ,-0.0047 
2011,5,18,0.0037 ,0.0039 ,0.0030 
2011,5,19,-0.0037 ,-0.0032 ,-0.0058 
2011,5,20,0.0003 ,0.0007 ,-0.0089 
2011,5,23,-0.0430 ,-0.0382 ,-0.0422 
2011,5,24,-0.0080 ,-0.0009 ,-0.0027 
2011,5,25,-0.0133 ,-0.0173 ,-0.0129 
2011,5,26,-0.0104 ,-0.0107 ,-0.0079 
2011,5,27,-0.0260 ,-0.0310 ,-0.0195 
2011,5,30,-0.0167 ,-0.0138 ,-0.0169 
2011,5,31,0.0188 ,0.0228 ,0.0173 
2011,6,1,0.0159 ,0.0104 ,0.0114 
2011,6,2,-0.0206 ,-0.0148 ,-0.0166 
2011,6,3,0.0230 ,0.0231 ,0.0187 
2011,6,7,0.0248 ,0.0168 ,0.0099 
2011,6,8,0.0079 ,0.0048 ,0.0022 
2011,6,9,-0.0096 ,-0.0214 ,-0.0210 
2011,6,10,0.0021 ,0.0047 ,-0.0020 
2011,6,13,-0.0067 ,0.0016 ,-0.0006 
2011,6,14,0.0104 ,0.0100 ,0.0114 
2011,6,15,-0.0132 ,-0.0091 ,-0.0119 
2011,6,16,-0.0256 ,-0.0215 ,-0.0212 
2011,6,17,-0.0101 ,-0.0176 ,-0.0163 
2011,6,20,-0.0293 ,-0.0169 ,-0.0105 
2011,6,21,0.0048 ,0.0131 ,0.0178 
2011,6,22,0.0129 ,0.0035 ,0.0013 
2011,6,23,0.0173 ,0.0180 ,0.0206 
2011,6,24,0.0248 ,0.0268 ,0.0196 
2011,6,27,0.0087 ,0.0155 ,0.0112 
2011,6,28,0.0025 ,0.0027 ,0.0025 
2011,6,29,-0.0122 ,-0.0113 ,-0.0129 
2011,6,30,0.0141 ,0.0127 ,0.0148 
2011,7,1,0.0066 ,0.0069 ,0.0028 
2011,7,4,0.0188 ,0.0249 ,0.0222 
2011,7,5,0.0057 ,0.0117 ,0.0073 
2011,7,6,0.0070 ,0.0043 ,0.0126 
2011,7,7,0.0006 ,0.0007 ,-0.0017 
2011,7,8,-0.0008 ,-0.0060 ,-0.0010 
2011,7,11,0.0125 ,0.0095 ,0.0073 
2011,7,12,-0.0217 ,-0.0155 ,-0.0172 
2011,7,13,0.0224 ,0.0204 ,0.0222 
2011,7,14,0.0020 ,0.0145 ,0.0069 
2011,7,15,0.0261 ,0.0216 ,0.0097 
2011,7,18,0.0074 ,-0.0016 ,-0.0056 
2011,7,19,-0.0118 ,-0.0133 ,-0.0103 
2011,7,20,0.0046 ,0.0030 ,0.0074 
2011,7,21,-0.0101 ,-0.0122 ,-0.0200 
2011,7,22,0.0070 ,0.0053 ,0.0079 
2011,7,25,-0.0442 ,-0.0423 ,-0.0343 
2011,7,26,0.0017 ,0.0033 ,0.0029 
2011,7,27,0.0166 ,0.0200 ,0.0201 
2011,7,28,-0.0113 ,-0.0034 ,-0.0043 
2011,7,29,-0.0077 ,-0.0077 ,-0.0137 
2011,8,1,0.0013 ,0.0019 ,0.0070 
2011,8,2,-0.0099 ,-0.0106 ,-0.0073 
2011,8,3,-0.0025 ,0.0049 ,0.0047 
2011,8,4,0.0020 ,0.0075 ,0.0041 
2011,8,5,-0.0224 ,-0.0178 ,-0.0163 
2011,8,8,-0.0575 ,-0.0498 ,-0.0538 
2011,8,9,-0.0072 ,-0.0039 ,-0.0024 
2011,8,10,0.0140 ,0.0126 ,0.0201 
2011,8,11,0.0352 ,0.0174 ,0.0217 
2011,8,12,0.0179 ,0.0139 ,0.0095 
2011,8,15,0.0136 ,0.0170 ,0.0180 
2011,8,16,-0.0049 ,-0.0054 ,-0.0038 
2011,8,17,-0.0008 ,-0.0071 ,-0.0022 
2011,8,18,-0.0212 ,-0.0207 ,-0.0123 
2011,8,19,-0.0062 ,-0.0056 ,-0.0050 
2011,8,22,-0.0048 ,-0.0070 ,-0.0090 
2011,8,23,0.0143 ,0.0174 ,0.0171 
2011,8,24,0.0006 ,0.0004 ,-0.0024 
2011,8,25,0.0202 ,0.0169 ,0.0173 
2011,8,26,0.0090 ,0.0098 ,0.0029 
2011,8,29,0.0080 ,-0.0066 ,-0.0067 
2011,8,30,-0.0185 ,-0.0135 ,-0.0101 
2011,8,31,-0.0052 ,-0.0059 ,-0.0106 
2011,9,1,-0.0049 ,-0.0054 ,-0.0106 
2011,9,2,-0.0167 ,-0.0125 ,-0.0098 
2011,9,5,-0.0205 ,-0.0231 ,-0.0259 
2011,9,6,-0.0072 ,-0.0068 ,-0.0113 
2011,9,7,0.0186 ,0.0251 ,0.0251 
2011,9,8,0.0039 ,-0.0036 ,-0.0145 
2011,9,9,-0.0151 ,-0.0087 ,-0.0067 
2011,9,13,-0.0245 ,-0.0185 ,-0.0167 
2011,9,14,0.0135 ,0.0157 ,0.0139 
2011,9,15,0.0009 ,-0.0005 ,0.0023 
2011,9,16,-0.0031 ,0.0060 ,-0.0016 
2011,9,19,-0.0150 ,-0.0172 ,-0.0182 
2011,9,20,0.0083 ,0.0025 ,0.0001 
2011,9,21,0.0267 ,0.0254 ,0.0313 
2011,9,22,-0.0284 ,-0.0255 ,-0.0286 
2011,9,23,-0.0101 ,-0.0125 ,-0.0126 
2011,9,26,-0.0202 ,-0.0170 ,-0.0194 
2011,9,27,0.0039 ,-0.0021 ,0.0092 
2011,9,28,-0.0232 ,-0.0150 ,-0.0149 
2011,9,29,-0.0335 ,-0.0340 ,-0.0224 
2011,9,30,-0.0004 ,-0.0016 ,-0.0038 
2011,10,10,0.0050 ,0.0006 ,0.0004 
2011,10,11,0.0058 ,-0.0020 ,-0.0018 
2011,10,12,0.0297 ,0.0337 ,0.0340 
2011,10,13,0.0129 ,0.0133 ,0.0165 
2011,10,14,-0.0067 ,-0.0040 ,-0.0106 
2011,10,17,-0.0016 ,0.0022 ,0.0000 
2011,10,18,-0.0333 ,-0.0332 ,-0.0266 
2011,10,19,-0.0024 ,-0.0039 ,-0.0080 
2011,10,20,-0.0325 ,-0.0279 ,-0.0305 
2011,10,21,-0.0209 ,-0.0168 ,-0.0135 
2011,10,24,0.0159 ,0.0115 ,0.0162 
2011,10,25,0.0271 ,0.0281 ,0.0223 
2011,10,26,0.0101 ,0.0104 ,0.0065 
2011,10,27,0.0169 ,0.0006 ,0.0016 
2011,10,28,0.0197 ,0.0190 ,0.0260 
2011,10,31,0.0116 ,0.0081 ,0.0064 
2011,11,1,0.0070 ,0.0045 ,0.0036 
2011,11,2,0.0200 ,0.0196 ,0.0210 
2011,11,3,0.0060 ,0.0058 ,0.0248 
2011,11,4,0.0055 ,0.0067 ,0.0089 
2011,11,7,-0.0048 ,-0.0035 ,-0.0062 
2011,11,8,-0.0117 ,-0.0123 ,-0.0105 
2011,11,9,0.0229 ,0.0156 ,0.0199 
2011,11,10,-0.0001 ,-0.0079 ,-0.0133 
2011,11,11,-0.0001 ,0.0055 ,-0.0001 
2011,11,14,0.0255 ,0.0251 ,0.0318 
2011,11,15,0.0148 ,0.0095 ,0.0060 
2011,11,16,-0.0279 ,-0.0244 ,-0.0254 
2011,11,17,0.0057 ,0.0015 ,0.0008 
2011,11,18,-0.0286 ,-0.0310 ,-0.0301 
2011,11,21,0.0064 ,-0.0020 ,-0.0035 
2011,11,22,-0.0047 ,-0.0042 ,0.0032 
2011,11,23,-0.0025 ,-0.0045 ,0.0017 
2011,11,24,0.0088 ,0.0013 ,-0.0086 
2011,11,25,-0.0018 ,-0.0059 ,-0.0105 
2011,11,28,-0.0081 ,0.0011 ,0.0026 
2011,11,29,0.0203 ,0.0207 ,0.0200 
2011,11,30,-0.0329 ,-0.0399 ,-0.0463 
2011,12,1,0.0362 ,0.0248 ,0.0210 
2011,12,2,-0.0237 ,-0.0229 ,-0.0139 
2011,12,5,-0.0373 ,-0.0375 ,-0.0334 
2011,12,6,-0.0024 ,-0.0015 ,-0.0002 
2011,12,7,0.0038 ,0.0003 ,0.0048 
2011,12,8,-0.0067 ,-0.0055 ,0.0030 
2011,12,9,-0.0109 ,-0.0129 ,-0.0087 
2011,12,12,-0.0231 ,-0.0116 ,-0.0124 
2011,12,13,-0.0375 ,-0.0360 ,-0.0357 
2011,12,14,-0.0169 ,-0.0215 ,-0.0139 
2011,12,15,-0.0190 ,-0.0259 ,-0.0261 
2011,12,16,0.0248 ,0.0250 ,0.0274 
2011,12,19,0.0008 ,-0.0040 ,-0.0029 
2011,12,20,0.0065 ,-0.0015 ,-0.0033 
2011,12,21,-0.0166 ,-0.0236 ,-0.0341 
2011,12,22,-0.0064 ,-0.0192 ,-0.0220 
2011,12,23,0.0026 ,0.0046 ,0.0025 
2011,12,26,-0.0001 ,-0.0134 ,-0.0095 
2011,12,27,-0.0283 ,-0.0300 ,-0.0349 
2011,12,28,-0.0175 ,-0.0116 ,-0.0071 
2011,12,29,-0.0022 ,-0.0016 ,-0.0024 
2011,12,30,0.0063 ,0.0168 ,0.0140 
2012,1,4,-0.0237 ,-0.0235 ,-0.0299 
2012,1,5,-0.0473 ,-0.0447 ,-0.0547 
2012,1,6,-0.0069 ,-0.0028 ,0.0057 
2012,1,9,0.0369 ,0.0425 ,0.0398 
2012,1,10,0.0407 ,0.0432 ,0.0416 
2012,1,11,-0.0021 ,0.0006 ,0.0110 
2012,1,12,-0.0027 ,0.0009 ,-0.0054 
2012,1,13,-0.0328 ,-0.0418 ,-0.0471 
